Hospital Name,Lab Name,Address,City,Postcode,"Lab type 
(Academic, Public, Private)","Offer PD-L1 Testing 
(Yes/No/Validating)",When did you start testing?,"PD-L1 Testing Performed 
(In house/ Send out)",Name of Sendout Lab,"PD-L1 Diagnostic algorithm 
(Individual, Panel, Reflex)","PD-L1 volume (NSCLC) 
for February to March","EGFR volume (NSCLC) 
for February to March","ALK volume (NSCLC) 
for February to March","
NSCLC volume 
for February to March","Number of Methods 
for PD-L1","Methodology 
(LDT/Kit/Both)","LDT PD-L1 
Antibody(ies)","PD-L1 Kit 
28-8 Dako Kit ","PD-L1 Kit 
22C3 Dako Kit ","PD-L1 Kit 
SP263 
Ventana Kit ","Laboratory Algorithm  
(Parallel, Sequential)",PD-L1 Platform/ Autostainer 1,PD-L1 Platform/ Autostainer 2,"Clinical cut-off
(50%, 10%, 1%, 
Reporting percentage tumor cells expressed)","PD-L1 Expression level at
?1%","PD-L1 Expression level at
overall ?50% ","Positivity for 
1% cut-off","Positivity for 
5% cut-off","Positivity for 
15% cut-off","Positivity for 
20% cut-off","Positivity for 
25% cut-off","Positivity for 
50% cut-off","PD-L1 
Average TAT",Report Style,PD-L1 Funding (Local/ Pharma),comments,filename,worksheetname,Country,data_collection_period_start,date_collection_period_end,Disease,worksheet,country,year,firstdate,seconddate
Hôpital Albert Michallon,Unité de pathologie moléculaire/Unité de biochimie des cancers et biothérapies / Institut de Biologie et de Pathologie,CS 10217,Grenoble,38043.0,Academic,Yes,2016,In house,,Individual,7.0,64.0,64.0,64.0,1.0,LDT,E1L3N,,,,Sequential,Ventana,,Reporting percentage tumor cells expressed,55%,11%,Over 50%,-,-,-,-,11%,4.0,,Local,,France PDL1 Excel_worksheet_France Feb-Mar 2017,France Febr-March 2042,France,2/26/2017,4/25/2017,Lung,France Feb-Mar 2017,france,2017,2017-02-01,2017-03-01
Hôpital Pasteur,Laboratoire de Pathologie Moléculaire,"30 avenue de la voie romaine, Pavillon J, BP69",Nice Cedex 01,6002.0,Public,Yes,Feb-17,In house,,Individual,13.0,59.0,59.0,59.0,5.0,Both,E1L3N; SP142,Yes,Yes,Yes,Sequential,Ventana,Dako,Reporting percentage tumor cells expressed,,,,,,,,,2.0,,,,France PDL1 Excel_worksheet_France Feb-Mar 2017,France Febr-March 2043,France,2/27/2017,4/26/2017,Lung,France Feb-Mar 2017,france,2017,2017-02-01,2017-03-01
CHU - Paris; Hopital Necker - Enfants Malades,Service d'Anatomie et de Cytologie Pathologiques,149 rue des Sevres,Paris ,75743.0,Hospital,Yes,Jan-17,In house,,Individual,26.0,58.0,58.0,58.0,3.0,Both,E1L3N; SP142,,,Yes,Sequential,Ventana,Dako,Reporting percentage tumor cells expressed,,,,,,,,,3.0,,Local,,France PDL1 Excel_worksheet_France Feb-Mar 2017,France Febr-March 2044,France,2/28/2017,4/27/2017,Lung,France Feb-Mar 2017,france,2017,2017-02-01,2017-03-01
BP 30042,Laboratoire de Biologie Moléculaire CLCC Paul Strauss,3 rue de la porte de l'hôpital,Strasbourg,67005.0,Hospital,Validating,,In house,,,,56.0,56.0,56.0,1.0,LDT,E1L3N,,,,,Ventana,,,,,,,,,,,,,,,France PDL1 Excel_worksheet_France Feb-Mar 2017,France Febr-March 2045,France,3/1/2017,4/28/2017,Lung,France Feb-Mar 2017,france,2017,2017-02-01,2017-03-01
Institut Goustave Roussy,Laboratoire de Biologie Moléculaire/Département de biologie et de Pathologie Méeicales,114 rue Edouard Vaillant,Paris Villejuif Cedex,94805.0,Private,No,,,,,,56.0,56.0,56.0,1.0,Kit,,Yes,,,,Ventana,,,,,,,,,,,,,,,France PDL1 Excel_worksheet_France Feb-Mar 2017,France Febr-March 2046,France,3/2/2017,4/29/2017,Lung,France Feb-Mar 2017,france,2017,2017-02-01,2017-03-01
"Institut de cancérologie de l'Ouest Angers, Nantes",Laboratoire de Biologie Moléculaire/Département de biopathologie du cancer Oncopharmacologie et pharmacogénétique,15 rue Boquel,Angers Cedex 02,49055.0,Hospital,Validating,,In house,,,,55.0,55.0,55.0,3.0,Both,28-8; E1L3N,,Yes,,Sequential,Ventana,,,,,,,,,,,,,,,France PDL1 Excel_worksheet_France Feb-Mar 2017,France Febr-March 2047,France,3/3/2017,4/30/2017,Lung,France Feb-Mar 2017,france,2017,2017-02-01,2017-03-01
"CHU Amiens - Picardie, Hôpital Nord",Laboratoire d'anatomopathologie,Place Victor Pauchet,Amiens,80000.0,Academic,Validating,,In house,,,,53.0,53.0,53.0,1.0,Kit,,,,Yes,,Ventana,,,,,,,,,,,,,,,France PDL1 Excel_worksheet_France Feb-Mar 2017,France Febr-March 2048,France,3/4/2017,5/1/2017,Lung,France Feb-Mar 2017,france,2017,2017-02-01,2017-03-01
Hôpital Morvan,Laboratoire d'anatomopathologie,2 avenue Foch,Brest Cedex,29609.0,Academic,Yes,2016,In house,,Individual,18.0,52.0,52.0,52.0,1.0,LDT,E1L3N,,,,Sequential,Ventana,,Reporting percentage tumor cells expressed,47%,5%,Over 50%,-,-,-,-,5%,4.0,,Local,,France PDL1 Excel_worksheet_France Feb-Mar 2017,France Febr-March 2049,France,3/5/2017,5/2/2017,Lung,France Feb-Mar 2017,france,2017,2017-02-01,2017-03-01
Hôpital Henri Mondor,Laboratoire d'anatomopathologie et de biologie moléculaire,51 avenue du Maréchal de Lattre de Tassigny,Paris Creteil cedex,94010.0,Hospital,Yes,Feb-17,In house,,Individual,12.0,51.0,51.0,51.0,1.0,LDT,E1L3N,,,,Sequential,Leica,,Reporting percentage tumor cells expressed,,,,,,,,,2.0,,,,France PDL1 Excel_worksheet_France Feb-Mar 2017,France Febr-March 2050,France,3/6/2017,5/3/2017,Lung,France Feb-Mar 2017,france,2017,2017-02-01,2017-03-01
CHU Toulouse -  IUCT-Oncopole,Département d'Anatomie ,1 Avenue Irène Joliot-Curie,Toulouse Cedex 9,31059.0,Academic,Yes,Jan-17,In house,,Reflex,12.0,51.0,51.0,51.0,2.0,LDT,E1L3N; SP142,,,,Sequential,Ventana,,Reporting percentage tumor cells expressed,,,,,,,-,,3.0,,Local,,France PDL1 Excel_worksheet_France Feb-Mar 2017,France Febr-March 2051,France,3/7/2017,5/4/2017,Lung,France Feb-Mar 2017,france,2017,2017-02-01,2017-03-01
